DATA CAIXA;HORA ABERT.;CHAVE NF-E;NOTA FISCAL;MODELO;SERIE;VAL. TOTAL PRODUTO;VAL. TOTAL NOTA;TROCO;DESCONTO;BASE ICMS;VAL. ICMS;BASE PIS;VAL. PIS;BASE COFINS;VAL. COFINS;COD. PRODUTO;DESCRIÇÃO DO ITEM;QUANT. ITEM;VALOR ITEM;ALIQ. ICMS;REDUÇÃO ICMS;CST;CFOP;BASE ICMS ITEM;VAL. ICMS ITEM;BASE PIS ITEM;VAL PIS ITEM;BASE COFINS ITEM; VAL. COFINS;COD. PAGTO;ESCR. PAGTO;VALOR PAGTO;OPERADORA;TIPO OPERACAO;NSU TRANSAÇÃO;N. AUTORIZAÇÃO;COD. PAGTO TEF;D..PAGTO TEF;HORA FECH.;HORA LANC.;NUMERO;TOTAL CARTÃO;CODIGO DA EMPRESA; CÓDIGO FUNC. LANC. ITEM;DESCONTO DO ITEM
01/05/2026;18:02:11;'29260545941965000117650050000380551467658180';38055;;5;62,59;62,59;0;0;0;0;0;0;0;0;1016579169;CREPIOCA DE FRANGO;1;37;;;;;;;;;;;;;;;;;;;;18:52:51;18:02:13;6;1;3;61;0
01/05/2026;18:02:11;'29260545941965000117650050000380551467658180';38055;;5;62,59;62,59;0;0;0;0;0;0;0;0;224;CAFE COADO;1;14,9;;;;;;;;;;;;;;;;;;;;18:52:51;18:02:14;6;1;3;61;0
01/05/2026;18:02:11;'29260545941965000117650050000380551467658180';38055;;5;62,59;62,59;0;0;0;0;0;0;0;0;1204;DD LEITE P/CAFE;1;5;;;;;;;;;;;;;;;;;;;;18:52:51;18:02:15;6;1;3;61;0
01/05/2026;18:02:11;'29260545941965000117650050000380551467658180';38055;;5;62,59;62,59;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;5,69;;;;;;;;;;;5302;MASTER CREDITO;62,59;;;;;0;;18:52:51;18:33:59;6;1;3;0;0
01/05/2026;21:13:04;'29260545941965000117650050000380651204972590';38065;;5;21,89;21,89;0;0;0;0;0;0;0;0;220;CAFE ESPRESSO;1;9,9;;;;;;;;;;;;;;;;;;;;21:22:49;21:13:05;6;1;3;61;0
01/05/2026;21:13:04;'29260545941965000117650050000380651204972590';38065;;5;21,89;21,89;0;0;0;0;0;0;0;0;140;AGUA SEM GAS;1;10;;;;;;;;;;;;;;;;;;;;21:22:49;21:13:06;6;1;3;61;0
01/05/2026;21:13:04;'29260545941965000117650050000380651204972590';38065;;5;21,89;21,89;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;1,99;;;;;;;;;;;4302;MASTER DEBITO;21,89;;;;;0;;21:22:49;21:17:01;6;1;3;0;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;1016579142;MEDALHAO DE FILE COM NHOQUE DE BANANA;1;89;;;;;;;;;;;;;;;;;;;;13:39:49;12:55:26;6;2;3;38;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;40;ATUM SELADO C/ ESPAGUETE;1;90;;;;;;;;;;;;;;;;;;;;13:39:49;12:55:27;6;2;3;38;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;10041;COCA ZERO;1;9;;;;;;;;;;;;;;;;;;;;13:39:49;12:55:50;6;2;3;38;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;338;BOMBOM PIPO;1;25;;;;;;;;;;;;;;;;;;;;13:39:49;13:22:47;6;2;3;38;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;220;CAFE ESPRESSO;1;9,9;;;;;;;;;;;;;;;;;;;;13:39:49;13:22:48;6;2;3;38;0
01/05/2026;12:55:26;'29260545941965000117650050000380381751817904';38038;;5;245,19;245,19;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;22,29;;;;;;;;;;;17310;TEF-GETNET CREDITO;245,19;MASTERCARD      ;VD CRED;10375;523142;0;;13:39:49;13:33:42;6;2;3;0;0
01/05/2026;13:52:56;'29260545941965000117650050000380401273328425';38040;;5;80,3;80,3;0;0;0;0;0;0;0;0;10120;SALADA PREMIUM P;1;64;;;;;;;;;;;;;;;;;;;;14:23:13;13:52:57;6;1;3;61;0
01/05/2026;13:52:56;'29260545941965000117650050000380401273328425';38040;;5;80,3;80,3;0;0;0;0;0;0;0;0;10041;COCA ZERO;1;9;;;;;;;;;;;;;;;;;;;;14:23:13;13:52:59;6;1;3;61;0
01/05/2026;13:52:56;'29260545941965000117650050000380401273328425';38040;;5;80,3;80,3;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;7,3;;;;;;;;;;;17310;TEF-GETNET CREDITO;80,3;VISA            ;VD CRED;10377;604572;0;;14:23:13;14:19:15;6;1;3;0;0
01/05/2026;16:23:06;'29260545941965000117650050000380481282742113';38048;;5;140,8;140,8;0;0;0;0;0;0;0;0;10120;SALADA PREMIUM P;2;128;;;;;;;;;;;;;;;;;;;;17:40:04;16:23:06;8;1;3;34;0
01/05/2026;16:23:06;'29260545941965000117650050000380481282742113';38048;;5;140,8;140,8;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;12,8;;;;;;;;;;;17310;TEF-GETNET CREDITO;140,8;MASTERCARD      ;VD CRED;10381;512262;0;;17:40:04;16:50:09;8;1;3;0;0
01/05/2026;18:58:52;'29260545941965000117650050000380611721838120';38061;;5;194,7;194,7;0;0;0;0;0;0;0;0;5093;SALMAO GREL C PURE DE BAT DOCE;2;158;;;;;;;;;;;;;;;;;;;;20:59:20;18:58:54;9;1;3;61;0
01/05/2026;18:58:52;'29260545941965000117650050000380611721838120';38061;;5;194,7;194,7;0;0;0;0;0;0;0;0;140;AGUA SEM GAS;1;10;;;;;;;;;;;;;;;;;;;;20:59:20;18:58:55;9;1;3;61;0
01/05/2026;18:58:52;'29260545941965000117650050000380611721838120';38061;;5;194,7;194,7;0;0;0;0;0;0;0;0;10041;COCA ZERO;1;9;;;;;;;;;;;;;;;;;;;;20:59:20;19:37:45;9;1;3;61;0
01/05/2026;18:58:52;'29260545941965000117650050000380611721838120';38061;;5;194,7;194,7;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;17,7;;;;;;;;;;;4301;VISA ELETRO;194,7;;;;;0;;20:59:20;19:46:40;9;1;3;0;0
01/05/2026;16:09:33;'29260545941965000117650050000380501123534069';38050;;5;56,1;56,1;0,9;0;0;0;0;0;0;0;7028;REFRIGERANTES;1;9;;;;;;;;;;;;;;;;;;;;17:40:59;16:09:34;13;1;3;34;0
01/05/2026;16:09:33;'29260545941965000117650050000380501123534069';38050;;5;56,1;56,1;0,9;0;0;0;0;0;0;0;5034;FATIA CHOCOLATUDA;1;42;;;;;;;;;;;;;;;;;;;;17:40:59;16:09:35;13;1;3;34;0
01/05/2026;16:09:33;'29260545941965000117650050000380501123534069';38050;;5;56,1;56,1;0,9;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;5,1;;;;;;;;;;;1;DINHEIRO;57;;;;;0;;17:40:59;17:34:14;13;1;3;0;0
01/05/2026;14:07:56;'29260545941965000117650050000380441106379177';38044;;5;59,18;59,18;0;0;0;0;0;0;0;0;5003;BRIGADEIRO;2;24;;;;;;;;;;;;;;;;;;;;15:42:27;14:07:57;13;2;3;61;0
01/05/2026;14:07:56;'29260545941965000117650050000380441106379177';38044;;5;59,18;59,18;0;0;0;0;0;0;0;0;220;CAFE ESPRESSO;2;19,8;;;;;;;;;;;;;;;;;;;;15:42:27;14:08:00;13;2;3;61;0
01/05/2026;14:07:56;'29260545941965000117650050000380441106379177';38044;;5;59,18;59,18;0;0;0;0;0;0;0;0;140;AGUA SEM GAS;1;10;;;;;;;;;;;;;;;;;;;;15:42:27;14:08:01;13;2;3;61;0
